author,text,likeCount,publishedAt
@no_one514,9:16am 8-12-24,0,2024-08-12T01:16:45Z
@ssake1_IAL_Research,Wonderful speech! He nailed it.,1,2024-08-11T20:27:29Z
@chestthugz,Hes smiling at all times 😊,1,2024-08-11T10:50:18Z
@navnitkumar4351,"<a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=1376"">22:56</a>",0,2024-08-11T10:11:05Z
@tstandr,What an inspiration! Thank you for sharing your insights. 😀,2,2024-08-08T19:25:16Z
@AbhijeetSingh-nm2ll,"<a href=""https://www.youtube.com/watch?v=pqWUuYTcG-o&amp;t=911"">15:11</a>",0,2024-08-08T18:05:03Z
@bhaskar4372,REALLY INSPIRING,0,2024-08-08T10:47:41Z
@moheganson,Epic Speech. First Class Guy 🎾 🐐 🫡,2,2024-08-08T01:57:05Z
@theafricangynaecologisttut2627,Well-deserved doctorate...,1,2024-08-07T14:42:21Z
@jinkytanjay2673,"I love Roger, I love the way he plays, very gracious and sophisticated and never give a dirty look to his opponent. He is very calm even if he knows he is losing the game. Humanly speaking he is one of the best coolest humble player I&#39;ve ever known",1,2024-08-05T00:44:59Z
@georgeguzzi4972,wonderful speech by a magnificent tennis player and a great humanitarian.  grads will never forget this day,1,2024-08-04T22:21:02Z
@KasusEpykMusykII,LMFAO! Pope Roger I.,1,2024-08-03T19:57:44Z
@kashifabbas6173,Why are there shouts at the back? Graduation celebrations?,0,2024-08-03T09:13:07Z
@KellyLugert,Happy my idol...😍😍😍😍🤩,0,2024-08-03T02:22:51Z
@allanyang21,Great speech but I feel like it’s the wrong crowd. He lived twice as long as the grads but his life lessons are very very different from normal people.,0,2024-08-01T02:38:09Z
@Tessouthecat,"Notre fierté nationale. ❤️🇨🇭 Quel homme incroyable et quel discours, bravo Roger. ✨",1,2024-07-31T18:22:50Z
@christianwagner6213,"This is was distinguishes Roger Federer from a Djokovic who may have more titles, more power, but not the elegant, relaxed and humble mindset of a true gentleman which is so hard to find in our over-competitive, self-marketing era. confidence comes from your inner self, not (only) from trophies.",1,2024-07-31T08:10:14Z
@smashpalace856,who is the person yelling in the background,0,2024-07-31T03:47:34Z
@animics2054,It&#39;s the lady in the background that made me click the video,0,2024-07-31T02:01:17Z
@wuti90bingo92,roger ，goat！,1,2024-07-30T17:18:58Z
@LightIceLightCreamNoSugar,Let’s all appreciate the right we have to peaceful protest. I always point it out to my kids- no matter the issue.  It’s their right like anybody else.,0,2024-07-30T13:50:12Z
@kristinasintiadewi7064,"Roger Federer, you are indeed the GOAT!❤",2,2024-07-30T07:20:28Z
@carolyndarragh1891,RF is a Doctor of humanity.,4,2024-07-30T01:55:12Z
@abdulwahab812,The greatest ever tennis player <br>Roger the G.O.A.T,2,2024-07-29T21:39:54Z
@116AuroraDrive,GROSS GROSS GROSS,0,2024-07-29T17:03:42Z
@EricMayer-u8q,"One of the classiest individuals we will ever have the pleasure of knowing in the world of sports. To any aspiring athlete, I would simply say pattern yourself after Roger.",2,2024-07-29T14:59:33Z
@alexismarie1901,❤❤❤,0,2024-07-29T07:35:51Z
@tcoylesq1,"Only 54% of points, that’s a very surprising stat to me.",0,2024-07-28T21:34:36Z
@mouryateja7848,Anyone annoyed with the noise that’s on the background 😅😅,3,2024-07-28T19:57:18Z
@victor-mihailpopescu1027,A great person and a great speech,2,2024-07-28T15:55:36Z
@merlinxtc,That background noise is annoying af,1,2024-07-28T00:34:29Z
@Funintherain13,What’s all the background shouting?,0,2024-07-26T17:05:15Z
@Rocketmanrun,God I hate these protestors. Like stfu who protests during a graduation let these students have this moment. Little privileged brats with nothing better to do,0,2024-07-26T03:02:12Z
@gianina-mihaelapalade4844,❤,0,2024-07-25T19:44:31Z
@shamisivasubramanian9498,Who is shouting in the background?!,0,2024-07-25T07:33:22Z
@muradashab,What a motivational speech ❤,1,2024-07-24T04:44:04Z
@facumorales2730,Roger🤍,0,2024-07-24T03:21:20Z
@33CHRISTINA33,❣️💕LOVE💙🩵,0,2024-07-23T02:14:16Z
@tomatojuice12,What is that annoying voice in the background?,0,2024-07-22T16:19:46Z
@vincentbenezech938,Who are these idiots shouting in the background during such a humble and inspiring speech?…,2,2024-07-22T11:54:41Z
@udaynaidu8476,"Excellent, I never expected that he was such a great speaker. So much clarity, good articulation 👏",2,2024-07-22T10:26:55Z
@arifkhan262,"&#39;Changed the game by the way he played the game&#39;,<br>An absolute legend ❤",2,2024-07-22T06:40:41Z
@niteshmalvatkar1420,Perfection might be impossible but u proved that wrong !!,1,2024-07-22T02:15:57Z
@p.g.4881,The true GOAT,1,2024-07-21T22:12:24Z
@rajasekarrathinam8315,I have unconditional love towards Roger Federer ❤❤❤❤❤,1,2024-07-21T09:15:15Z
@benediktmuller1436,This is one of the best speeches I ever heard!,1,2024-07-21T08:11:56Z
@amritchoudhary5047,Just Wow!!! ❤,2,2024-07-21T04:44:05Z
@Tatsuakisakai1987,Roger Federer is Beginner Difficulty,0,2024-07-20T19:48:12Z
@chuck6318,"Wow, that was outstanding.  Mr. Federer put great effort in preparation and it showed.  He made it look easy, but he put in the work!  So many excellent life lessons shared.",2,2024-07-20T19:03:36Z
@สุวิทย์นุชสุข,สุดRF❤❤❤,1,2024-07-20T14:30:06Z
@RajPatel-cg9ft,Roger❤,1,2024-07-20T13:21:17Z
@arifbudiwiranto6561,Your tennis lesson speech is as great as your play. It is inspiring in many ways. Tha nks a lot Dr. Roger..,2,2024-07-20T12:41:16Z
@mariuszmielczarek5659,"Forever ever. Novak Djokovic Goat, second and third Nadal and Federer. Always 😅",1,2024-07-20T08:15:23Z
@josephfernandez9767,"Such a great speech. I wish there was a better way to keep the background noise low. With such a high profile person speaking, there should be some respect to reduce the background noise and make this the big event.",3,2024-07-20T05:17:21Z
@thandile.rafisa,🇿🇦🇿🇦🇿🇦❤❤❤,0,2024-07-19T22:10:38Z
@farzinjahed9575,"For those who want to know, this is Roger Federer&#39;s commencement speech at Dartmouth.",0,2024-07-19T19:11:47Z
@randellthomas7294,I in English shit up,0,2024-07-19T11:28:05Z
